"car_initial","car_number","axle_side","eqp_axle_nbr","Start_year","Start_month","start_date","end_year","End_month","End_date","Train_type","origin_station","destination_station","Train_Priority","kipread_day","kipread_month","kipread_year","kipread_hour","kipread_minute","kipread_secs","VNDR_EDR_NME","EDR_VNDR","AGE","EQP_SEQ_NBR","WHL_AVG_KIPS","WHL_PEAK_KIPS","WHL_DYN_KIPS","WHL_DYN_RATIO","EDR_EQP_SPD","EQP_GRS_TONS","TARE","car_type","car_characteristic","EQP_GRP","GRS_RAIL_WGT","KIPDAYS","RPR_WHY_CD","weight"
"EQVI",714999,"L",1,2011,8,23,2014,8,23,"X","WDF","JYH","H",1,7,2012,0,17,23,"VELO","PRT",312,111,38.6,44.84,6.24,1.16,30.69,30.2,31,"C",114,"HOPP",286000,4295.13,11,113.4
"FHIA",71822,"R",1,2010,7,15,2014,1,3,"E","RNR","HEP","A",3,7,2012,1,5,0,"ROGN","SALIENT",719,94,37.37,40.74,3.37,1.09,34.23,20.7,20,"J",311,"GOND",286000,0.0,11,124.8
"AFOA",23534,"R",3,2011,3,27,2014,3,27,"E","PLF","EDP","A",4,7,2012,11,41,0,"ROGN","SALIENT",465,18,34.3,36.57,2.27,1.07,35.34,26.6,25,"K",341,"HOPP",286000,0.0,11,120.8
"AFOA",93603,"R",2,2010,3,15,2013,3,15,"E","PLF","EDP","A",1,7,2012,0,36,0,"ROGN","SALIENT",838,10,36.48,41.59,5.11,1.14,37.47,26.1,24,"K",341,"HOPP",286000,0.0,11,119.3
"EQVI",903656,"L",2,2010,8,2,2013,8,2,"E","FRE","EWP","A",1,7,2012,2,34,0,"BMRK","SALIENT",699,23,32.12,37.14,5.02,1.16,24.5,21.6,20,"J",311,"GOND",286000,0.0,11,119.8
"EQVI",992480,"R",3,2011,12,18,2014,7,8,"E","UEH","VFP","A",1,7,2012,3,20,0,"PEST","SALIENT",196,55,26.46,29.32,2.86,1.11,33.56,21.4,20,"J",311,"GOND",286000,0.0,11,95.9
"KLSA",57350,"R",3,2011,5,30,2014,5,30,"E","VOS","FGP","A",3,7,2012,4,48,0,"ROGN","SALIENT",400,116,39.47,45.89,6.42,1.16,42.09,21.6,21,"J",311,"GOND",286000,6718.19,61,123.7
"FHIA",3215,"L",1,2010,11,29,2013,11,29,"X","SOA","VPQ","A",3,7,2012,19,30,21,"GAGE","PRT",582,97,33.95,38.82,4.87,1.14,51.92,36.5,31,"C",114,"HOPP",286000,5433.33,11,122.4
"EQVI",711167,"L",2,2010,1,20,2013,1,20,"X","SOA","VPQ","A",3,7,2012,19,30,21,"GAGE","PRT",895,52,39.54,58.61,19.07,1.48,53.31,42.4,31,"C",114,"HOPP",286000,4199.21,65,122.0
"EQVI",710828,"L",1,2011,7,14,2014,7,14,"X","SOA","VPQ","A",3,7,2012,19,30,21,"GAGE","PRT",355,20,27.11,33.11,6.0,1.22,55.55,33.3,31,"C",114,"HOPP",286000,0.0,11,106.6
